128 128
 -5.768042  -5.487807 -814.840693
 -4.761794  -5.570737 -815.075034
 -3.750799  -5.644540 -815.410692
 -2.739027  -5.716851 -815.762901
 -1.727872  -5.790349 -816.101941
 -0.711773  -5.854343 -816.546480
  0.306013  -5.915094 -817.027009
  1.327080  -5.969538 -817.577543
  2.970371  -4.827954 -831.403839
  3.963906  -4.935320 -831.366946
  4.957440  -5.042687 -831.330053
  5.950975  -5.150053 -831.293159
  6.526435  -6.061035 -822.336231
  7.570055  -6.072128 -823.367962
  8.599154  -6.111135 -824.089848
  9.629016  -6.148672 -824.828045
 10.658550  -6.186842 -825.559224
 11.692936  -6.215686 -826.393923
 12.725373  -6.248274 -827.187058
 13.756284  -6.283797 -827.947615
 14.790500  -6.312965 -828.778711
 15.827789  -6.336228 -829.675352
 16.865042  -6.359560 -830.571233
 17.873392  -6.438448 -830.850438
 18.866927  -6.545815 -830.813545
 19.860462  -6.653181 -830.776651
 20.853997  -6.760547 -830.739758
 21.847532  -6.867913 -830.702865
 22.841066  -6.975280 -830.665971
 23.834601  -7.082646 -830.629078
 24.828136  -7.190012 -830.592184
 25.821671  -7.297379 -830.555291
 26.815205  -7.404745 -830.518398
 27.808740  -7.512111 -830.481504
 28.802275  -7.619477 -830.444611
 29.795810  -7.726844 -830.407717
 30.789345  -7.834210 -830.370824
 31.782879  -7.941576 -830.333931
 32.776414  -8.048943 -830.297037
 33.769949  -8.156309 -830.260144
 34.763484  -8.263675 -830.223250
 35.757018  -8.371041 -830.186357
 36.750553  -8.478408 -830.149464
 37.744088  -8.585774 -830.112570
 38.737623  -8.693140 -830.075677
-87.337784   5.932549 -834.667082
-86.344249   5.825183 -834.630189
-85.350714   5.717817 -834.593295
-84.357180   5.610450 -834.556402
-83.363645   5.503084 -834.519509
-82.370110   5.395718 -834.482615
-81.376575   5.288352 -834.445722
-80.383041   5.180985 -834.408828
-79.389506   5.073619 -834.371935
-78.395971   4.966253 -834.335042
-77.402436   4.858886 -834.298148
-76.408901   4.751520 -834.261255
-75.415367   4.644154 -834.224361
